,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0006813,GO:0006813,potassium ion transport,15/221,241/18614,2.02E-07,0.00018765,0.00016393,KCNA4/SLC9A2/KCNA3/KCNC2/VIP/KCNJ12/RGS4/KCNK3/KCNQ5/KCNH7/KCNV1/KCNS2/DRD1/SLC17A6/KCNS1,15
GO:0042391,GO:0042391,regulation of membrane potential,20/221,433/18614,2.49E-07,0.00018765,0.00016393,CACNA1C/KCNA4/RIMS4/OPRD1/RIMS2/PTPN3/STX1A/KCNC2/CACNB3/GABRA4/GLRA2/RGS4/KCNK3/KCNH7/DSP/RIMS3/DRD1/GLRA3/CUX2/HTR3B,20
GO:0034765,GO:0034765,regulation of monoatomic ion transmembrane transport,21/221,478/18614,2.82E-07,0.00018765,0.00016393,CACNA1C/KCNA4/TSPAN13/PTPN3/CEMIP/KCNA3/AKAP5/KCNC2/CACNB3/KCNJ12/CABP1/HECW1/RGS4/KCNK3/KCNQ5/KCNH7/KCNV1/KCNS2/CASQ1/DRD1/KCNS1,21
GO:0007218,GO:0007218,neuropeptide signaling pathway,10/221,109/18614,6.95E-07,0.000347286,0.000303387,OPRD1/NPY1R/NXPH2/TAC3/NPY5R/SORCS1/ADCYAP1/GLRA2/PNOC/MCHR2,10
GO:0017156,GO:0017156,calcium-ion regulated exocytosis,8/221,65/18614,9.82E-07,0.000392406,0.000342804,CADPS2/RIMS4/RIMS2/STX1A/UNC13C/DOC2A/RIMS3/SYT10,8
GO:0050804,GO:0050804,modulation of chemical synaptic transmission,20/221,487/18614,1.56E-06,0.000459502,0.000401418,NETO2/PRKAR2B/PRKCB/RIMS4/RIMS2/CNTN4/CALB2/NPTX1/STX1A/AKAP5/UNC13C/NPY5R/NRGN/RGS4/ITPKA/RIMS3/CALB1/DRD1/CBLN2/CUX2,20
GO:0099177,GO:0099177,regulation of trans-synaptic signaling,20/221,488/18614,1.61E-06,0.000459502,0.000401418,NETO2/PRKAR2B/PRKCB/RIMS4/RIMS2/CNTN4/CALB2/NPTX1/STX1A/AKAP5/UNC13C/NPY5R/NRGN/RGS4/ITPKA/RIMS3/CALB1/DRD1/CBLN2/CUX2,20
GO:0071805,GO:0071805,potassium ion transmembrane transport,13/221,217/18614,2.05E-06,0.000511804,0.00044711,KCNA4/SLC9A2/KCNA3/KCNC2/KCNJ12/RGS4/KCNK3/KCNQ5/KCNH7/KCNV1/KCNS2/SLC17A6/KCNS1,13
GO:0034332,GO:0034332,adherens junction organization,7/221,57/18614,4.83E-06,0.001072753,0.000937151,CDH13/CDH12/CDH18/CDH22/CDH9/DSP/CDH7,7
GO:0006836,GO:0006836,neurotransmitter transport,12/221,202/18614,5.55E-06,0.001110388,0.000970029,CADPS2/PRKCB/RIMS4/RIMS2/STX1A/UNC13C/DOC2A/SLC6A13/SLC6A7/RIMS3/DRD1/SLC17A6,12
GO:0010959,GO:0010959,regulation of metal ion transport,17/221,423/18614,1.29E-05,0.00234457,0.002048204,CACNA1C/TSPAN13/OPRD1/PTPN3/CEMIP/AKAP5/KCNC2/VIP/CACNB3/CABP1/HECW1/RGS4/KCNK3/KCNS2/CASQ1/DRD1/KCNS1,17
GO:1904062,GO:1904062,regulation of monoatomic cation transmembrane transport,15/221,346/18614,1.76E-05,0.002646136,0.002311651,CACNA1C/TSPAN13/PTPN3/CEMIP/AKAP5/KCNC2/CACNB3/CABP1/HECW1/RGS4/KCNK3/KCNS2/CASQ1/DRD1/KCNS1,15
GO:0051260,GO:0051260,protein homooligomerization,11/221,191/18614,1.83E-05,0.002646136,0.002311651,KCNA4/PRMT8/KCNA3/KCNC2/KCTD16/KCNJ12/KCNV1/KCNS2/GLRA3/SCARA5/KCNS1,11
GO:0016339,GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,6/221,47/18614,1.87E-05,0.002646136,0.002311651,CDH13/CDH12/CDH18/CDH22/CDH9/CDH7,6
GO:0016079,GO:0016079,synaptic vesicle exocytosis,8/221,97/18614,2.03E-05,0.002646136,0.002311651,CADPS2/PRKCB/RIMS4/RIMS2/STX1A/UNC13C/DOC2A/RIMS3,8
GO:0044331,GO:0044331,cell-cell adhesion mediated by cadherin,6/221,48/18614,2.12E-05,0.002646136,0.002311651,CDH13/CDH12/CDH18/CDH22/CDH9/CDH7,6
GO:0034329,GO:0034329,cell junction assembly,17/221,444/18614,2.40E-05,0.00270713,0.002364934,EFNA5/NEGR1/NPTX1/EPHA3/HOPX/CDH13/CDH12/CDH18/CDH22/CDH9/GJB2/FMN1/DRD1/CBLN2/CDH7/CUX2/TPBG,17
GO:0007188,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,12/221,234/18614,2.44E-05,0.00270713,0.002364934,OPRD1/NPY1R/RIMS2/ADGRL2/AKAP5/VIP/ADCYAP1/PTGER3/CHRM3/HTR1E/DRD1/GLP2R,12
GO:0048167,GO:0048167,regulation of synaptic plasticity,11/221,209/18614,4.21E-05,0.004293792,0.003751034,RIMS4/RIMS2/CNTN4/CALB2/AKAP5/UNC13C/NRGN/ITPKA/RIMS3/CALB1/DRD1,11
GO:0051259,GO:0051259,protein complex oligomerization,12/221,248/18614,4.30E-05,0.004293792,0.003751034,COL1A2/KCNA4/PRMT8/KCNA3/KCNC2/KCTD16/KCNJ12/KCNV1/KCNS2/GLRA3/SCARA5/KCNS1,12
GO:0001505,GO:0001505,regulation of neurotransmitter levels,11/221,211/18614,4.59E-05,0.004293792,0.003751034,CADPS2/PRKCB/RIMS4/PDE1B/RIMS2/STX1A/UNC13C/DOC2A/SLC6A13/RIMS3/DRD1,11
