,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0007272,GO:0007272,ensheathment of neurons,26/567,146/18614,3.08E-13,6.78E-10,5.61E-10,ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/CLDN11/MAG/UGT8/MYRF/MOBP/CD9/PLLP/GAL3ST1/MPZ/MBP/SOX10/ZNF488/MAL/ITGAX/PARD3/JAM2/HYCC1/QKI/PIKFYVE/PALS1,26
GO:0008366,GO:0008366,axon ensheathment,26/567,146/18614,3.08E-13,6.78E-10,5.61E-10,ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/CLDN11/MAG/UGT8/MYRF/MOBP/CD9/PLLP/GAL3ST1/MPZ/MBP/SOX10/ZNF488/MAL/ITGAX/PARD3/JAM2/HYCC1/QKI/PIKFYVE/PALS1,26
GO:0042552,GO:0042552,myelination,25/567,144/18614,1.60E-12,2.35E-09,1.94E-09,ITGB4/POU3F1/EGR2/KLK6/NKX6-2/FA2H/MAG/UGT8/MYRF/MOBP/CD9/PLLP/GAL3ST1/MPZ/MBP/SOX10/ZNF488/MAL/ITGAX/PARD3/JAM2/HYCC1/QKI/PIKFYVE/PALS1,25
GO:0042063,GO:0042063,gliogenesis,31/567,320/18614,1.48E-08,1.63E-05,1.35E-05,ITGB4/POU3F1/EGR2/CCL2/NKX6-2/DAAM2/SLC45A3/FA2H/MAG/MYRF/MOBP/CD9/CNP/ERBB3/SOX10/ZNF488/BOK/SOX8/MAL/SUN2/OPALIN/PARD3/P2RY12/LEPR/NTN1/PAX6/LDLR/IL6ST/SOX6/SERPINE2/PALS1,31
GO:0010001,GO:0010001,glial cell differentiation,25/567,235/18614,6.09E-08,3.33E-05,2.76E-05,ITGB4/POU3F1/EGR2/NKX6-2/DAAM2/SLC45A3/FA2H/MAG/MYRF/MOBP/CNP/ERBB3/SOX10/ZNF488/BOK/SOX8/MAL/OPALIN/PARD3/PAX6/LDLR/IL6ST/SOX6/SERPINE2/PALS1,25
GO:0007422,GO:0007422,peripheral nervous system development,14/567,76/18614,6.10E-08,3.33E-05,2.76E-05,ITGB4/POU3F1/EGR2/HAPLN2/FA2H/UGT8/ERBB3/SOX10/SOX8/PARD3/EGR3/GSTM3/PLXNA4/PALS1,14
GO:0031589,GO:0031589,cell-substrate adhesion,32/567,359/18614,6.23E-08,3.33E-05,2.76E-05,CD44/SERPINE1/ITGB4/ANGPT1/CCDC80/PDPN/CD36/ADAMTS9/ABI3BP/ITGA2/CCN1/STON1/ANTXR1/S100A10/DOCK5/CCN2/FZD7/ITGAX/FBLN2/ECM2/JAG1/PKP2/FN1/ITGA7/ITGAV/NRP1/PARVA/PEAK1/SDC4/RIN2/AP1AR/ID1,32
GO:0048709,GO:0048709,oligodendrocyte differentiation,16/567,101/18614,6.49E-08,3.33E-05,2.76E-05,NKX6-2/DAAM2/SLC45A3/FA2H/MAG/MYRF/MOBP/CNP/SOX10/ZNF488/BOK/SOX8/MAL/OPALIN/PAX6/SOX6,16
GO:0001667,GO:0001667,ameboidal-type cell migration,39/567,496/18614,6.82E-08,3.33E-05,2.76E-05,AQP1/ITGB4/ANGPT1/SPARC/DAAM2/ADAMTS9/ANLN/PRR5L/ITGA2/ENPP2/SEMA3B/FGF1/DOCK5/SOX10/CTSH/SOX8/GLIPR2/RFFL/SEMA4A/SEMA5A/ACVR1C/JUN/DDR2/FSTL1/NR4A1/P2RY12/EGR3/SCG2/NRP2/EDN1/FN1/PTGS2/NRP1/PRKCA/SDC4/RIN2/ID1/PIK3C2A/SEMA3C,39
GO:0030198,GO:0030198,extracellular matrix organization,29/567,314/18614,1.22E-07,5.23E-05,4.33E-05,CCDC80/ADAMTS18/HAPLN2/PDPN/ADAMTS9/AEBP1/ABI3BP/CHADL/SMOC1/ADAMTS4/CCN1/ADAMTS14/SFRP2/MYO1E/ANTXR1/ELN/CCN2/COL4A5/COL9A3/COL9A2/VWA1/MATN2/HPN/PHLDB1/ECM2/TLL1/DDR2/CAV1/ADAMTS1,29
