gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SH2D5,618.7920999,-1.001869931,0.235700564,-4.250604719,2.13E-05,0.00024398
PIK3R3,77.41496171,-1.003863798,0.159285874,-6.302277602,2.93E-10,1.94E-08
LINC01122,85.38877051,-1.004232373,0.211239345,-4.754002498,1.99E-06,3.42E-05
TPTE2P1,104.7143368,-1.004654211,0.154226106,-6.514164407,7.31E-11,6.03E-09
SLC5A4-AS1,306.3445748,-1.00979424,0.260273466,-3.879743311,0.000104567,0.000889045
CAMK1D,3272.90837,-1.011645262,0.195949718,-5.162779871,2.43E-07,5.70E-06
NETO2,507.4426478,-1.013774678,0.15323639,-6.615756734,3.70E-11,3.43E-09
ANO3,676.2887421,-1.017844539,0.217115413,-4.688034471,2.76E-06,4.47E-05
CCDC68,78.39033862,-1.020473695,0.254911787,-4.003242475,6.25E-05,0.000586523
PRKAR2B,1052.676343,-1.021416402,0.140500886,-7.269821793,3.60E-13,6.55E-11
CACNA1C,1092.747203,-1.022247854,0.174856607,-5.846206632,5.03E-09,2.15E-07
DLX6-AS1,106.1591219,-1.024661745,0.239942232,-4.270451842,1.95E-05,0.000227152
CADPS2,1048.570448,-1.026797826,0.197084121,-5.209947004,1.89E-07,4.61E-06
COL1A2,548.4208283,-1.027576463,0.307648495,-3.340099111,0.000837485,0.004797728
GALNTL6,98.48238994,-1.027598875,0.23530028,-4.367180848,1.26E-05,0.000156453
PKNOX2,356.3526001,-1.030417023,0.153663524,-6.705670928,2.00E-11,2.06E-09
STAR,61.57326078,-1.031188002,0.188418172,-5.47286916,4.43E-08,1.35E-06
DGKB,3258.45588,-1.032351665,0.188253766,-5.483830081,4.16E-08,1.28E-06
KCNA4,344.7345652,-1.032351696,0.212785945,-4.851597209,1.22E-06,2.25E-05
SRRM4,714.1671166,-1.032373082,0.207490394,-4.975522291,6.51E-07,1.32E-05
FLRT2-AS1,99.56787124,-1.035248031,0.217580712,-4.757995412,1.96E-06,3.36E-05
PRKCB,7788.025727,-1.035611741,0.191578284,-5.405684412,6.46E-08,1.84E-06
FBLN7,194.213238,-1.037522771,0.172387859,-6.018537358,1.76E-09,8.85E-08
FNDC9,139.9656077,-1.038789972,0.25575316,-4.061689694,4.87E-05,0.000479495
PRMT8,203.8280482,-1.040713055,0.242142102,-4.297943416,1.72E-05,0.000203842
SLC26A4,94.90077152,-1.044652824,0.197895838,-5.278801387,1.30E-07,3.35E-06
LOC105375690,52.59125421,-1.048245065,0.175746082,-5.964543025,2.45E-09,1.17E-07
LAMP5,796.6726854,-1.049431823,0.287679189,-3.647924012,0.000264368,0.00189932
HRH2,274.0881985,-1.049478299,0.157191445,-6.676433938,2.45E-11,2.42E-09
FRMPD4,1234.545258,-1.049719631,0.181423015,-5.786033429,7.21E-09,2.92E-07
RALYL,505.602358,-1.049733569,0.182888485,-5.739746654,9.48E-09,3.70E-07
GRASLND,90.01501786,-1.050587467,0.217972822,-4.819809452,1.44E-06,2.60E-05
IGFBP6,122.143778,-1.050785598,0.214826048,-4.891332358,1.00E-06,1.89E-05
ABLIM2,820.2824709,-1.054864983,0.170815042,-6.175480617,6.60E-10,3.89E-08
PITPNM2,981.4961602,-1.055107909,0.172327791,-6.122679933,9.20E-10,5.10E-08
SNORD3A,56800.41678,-1.056324588,0.329365986,-3.20714534,0.001340592,0.007114053
CAMK1G,448.6401499,-1.05693382,0.241179775,-4.382348489,1.17E-05,0.000147527
MAL2,856.0164835,-1.056949375,0.216786342,-4.875534883,1.09E-06,2.03E-05
RIMS4,1524.083453,-1.061395426,0.210980225,-5.030781566,4.88E-07,1.03E-05
MTCL1,496.9697463,-1.062765946,0.112984963,-9.406260085,5.14E-21,1.46E-17
KIAA1522,451.983946,-1.067611521,0.189676287,-5.628597732,1.82E-08,6.39E-07
EFNA5,232.6744631,-1.067694271,0.168093243,-6.351797663,2.13E-10,1.48E-08
LRRTM4,473.9465313,-1.070982585,0.162634059,-6.5852294,4.54E-11,4.04E-09
TMEM74B,80.89030785,-1.072788951,0.178917961,-5.995982424,2.02E-09,9.92E-08
TSPAN13,783.5438216,-1.073885938,0.180064126,-5.963908325,2.46E-09,1.17E-07
LOC105369863,659.8468609,-1.07570497,0.254393077,-4.228515116,2.35E-05,0.000264344
IGSF9B,1136.5548,-1.078411468,0.20589757,-5.237611433,1.63E-07,4.06E-06
RAB27B,1245.878729,-1.082552012,0.229601808,-4.714910671,2.42E-06,4.01E-05
PDE1B,694.3794125,-1.08294484,0.175782348,-6.160714391,7.24E-10,4.22E-08
GCNT4,180.6309583,-1.085720707,0.214420474,-5.063512295,4.12E-07,8.94E-06
