gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NTS,66.02934591,5.763722436,0.704078593,8.186191846,2.70E-16,1.32E-13
LTF,136.5255059,4.867948065,0.621539129,7.832086253,4.80E-15,1.56E-12
SERPINA3,1080.408023,3.875217979,0.510843645,7.58591795,3.30E-14,8.33E-12
FNDC1,51.19130143,3.295172914,0.51904072,6.348582664,2.17E-10,1.50E-08
CHI3L2,217.9579111,3.129276299,0.565106264,5.537500644,3.07E-08,9.81E-07
MYLK3,107.9256234,3.0429727,0.595656413,5.10860394,3.25E-07,7.30E-06
AQP1,2874.498838,3.022431426,0.466453735,6.479595298,9.20E-11,7.32E-09
LOC107985088,93.86713915,2.743229276,0.360610687,7.607176877,2.80E-14,7.13E-12
CABP7,274.3779391,2.620039345,0.298186687,8.786573839,1.54E-18,1.79E-15
LOC105378850,83.2196978,2.61068808,0.405804336,6.433366643,1.25E-10,9.64E-09
TNC,1605.533835,2.586530048,0.326040607,7.933153078,2.14E-15,8.15E-13
RASSF9,56.57628952,2.562199054,0.405323001,6.321375908,2.59E-10,1.75E-08
LINC01088,74.50691776,2.495586508,0.352756054,7.07453913,1.50E-12,2.27E-10
FIBCD1,129.2615842,2.476819186,0.439960083,5.629645237,1.81E-08,6.36E-07
SLC47A2,60.46086658,2.425821172,0.409146143,5.928984576,3.05E-09,1.41E-07
CD44,1103.242031,2.348344018,0.282359773,8.316850505,9.03E-17,5.33E-14
FOXJ1,83.8947091,2.345290862,0.445941685,5.259187339,1.45E-07,3.66E-06
SERPINE1,122.9405697,2.342105684,0.317321337,7.38086417,1.57E-13,3.26E-11
RGS1,586.5058321,2.337525749,0.412011522,5.673447529,1.40E-08,5.13E-07
CAPS,295.2017607,2.335663926,0.369380264,6.323196322,2.56E-10,1.73E-08
CH25H,255.1547444,2.32781207,0.388667387,5.989213779,2.11E-09,1.03E-07
CPAMD8,335.8776462,2.321050174,0.44473205,5.218985616,1.80E-07,4.40E-06
